epoch,train_loss,train_f1,val_loss,val_f1,val_monitor,freeze_embedding
1,1.0197369926664432,0.6195912082028021,0.9305913777617408,0.7146950798263437,0.6030241144949349,False
2,0.4863326488393782,0.9188987265013924,0.8593398628940636,0.7585698727123948,0.6554490891651072,False
3,0.4262069875472639,0.9416964951819057,0.8112802928977766,0.745627063272133,0.6482734281243998,False
4,0.40603794076769906,0.9485078208664878,0.7528361999644482,0.7767845448120555,0.6864442008163217,False
5,0.39198672424989556,0.9552907600733572,0.758672187484431,0.7560682081850847,0.665027545686953,False
6,0.38523027182065156,0.9571840459564762,0.7157431661935811,0.8135554298170873,0.7276662498738575,False
7,0.376427557898388,0.9616533724497468,0.7067223224829553,0.8086195341718097,0.723812855473855,False
8,0.37221371334884,0.961887101848749,0.7029697004547005,0.812021652839725,0.727665288785161,False
9,0.3664827913111085,0.9655124308466831,0.6887138605915044,0.8293873426715526,0.746741679400572,False
10,0.3637599351131381,0.9664104636133191,0.7052300704885058,0.8149545035681992,0.7303268951095785,False
11,0.3603385898230399,0.9673285855472308,0.6770938826211529,0.8346026601009183,0.75335139418638,False
12,0.3578525233834331,0.9679476685050422,0.7111781448524462,0.8148294908015029,0.7294881134192094,False
13,0.35575934559941663,0.9696346215203292,0.6773432879139948,0.8351889571031254,0.7539077625534459,False
14,0.3532754097286172,0.9696349406082607,0.6860381114371685,0.8417787064920793,0.7594541331196191,False
15,0.35016810572606083,0.9715599319370147,0.6849984016081935,0.8408134106793561,0.7586136024863729,False
16,0.34981166883931697,0.9721991319926072,0.6989231073113656,0.8206693598671432,0.7367985869897793,False
17,0.3470834469832047,0.9729827854016131,0.6978062173087427,0.8032023123982226,0.7194655663211735,False
18,0.3467049885556063,0.9734034987326745,0.6909421080751597,0.8373807070112114,0.7544676540421922,False
19,0.34395635272615754,0.973679860266336,0.6922085337060222,0.8345465684088337,0.751481544364111,False
