epoch,train_loss,freeze_embedding,Recall@1,Recall@3,Recall@5,MRR
1,0.14643220852329733,False,0.186,0.33866666666666667,0.39266666666666666,0.2831187279321306
2,0.09410544681594041,False,0.20133333333333334,0.3446666666666667,0.41133333333333333,0.303186397291821
3,0.07951929400303236,False,0.21,0.366,0.426,0.3135232703952403
4,0.0655701421533388,False,0.21066666666666667,0.386,0.45066666666666666,0.3255065279095546
5,0.06295416474250363,False,0.23866666666666667,0.41,0.4766666666666667,0.35011357174118546
6,0.05729136812220876,False,0.244,0.41933333333333334,0.49266666666666664,0.35903870081532524
7,0.05244828402020027,False,0.24466666666666667,0.4186666666666667,0.4826666666666667,0.35679928194243765
8,0.05604940690917815,False,0.24466666666666667,0.4086666666666667,0.474,0.3531986179713709
9,0.04851459922455507,False,0.25533333333333336,0.43733333333333335,0.5093333333333333,0.37239020401788814
10,0.04460827783529426,False,0.282,0.458,0.532,0.39622440248073604
11,0.04383828379188259,False,0.26666666666666666,0.45466666666666666,0.526,0.38712800366900985
12,0.04311028297668622,False,0.278,0.464,0.5333333333333333,0.3971437047412876
13,0.041434962103151,False,0.272,0.4673333333333333,0.5373333333333333,0.3959508088409296
14,0.03755219233067724,False,0.2773333333333333,0.47733333333333333,0.5386666666666666,0.4012212175993828
15,0.0364244335563534,False,0.286,0.478,0.548,0.40758131504119305
16,0.03643349446330746,False,0.298,0.482,0.5506666666666666,0.41644108080978104
17,0.03603661483516521,False,0.288,0.48,0.5453333333333333,0.4108327451975471
18,0.03585420888676136,False,0.2886666666666667,0.476,0.5473333333333333,0.40881604563276397
19,0.03239711297967245,False,0.294,0.49,0.556,0.41795813583883257
20,0.03268826361496477,False,0.30266666666666664,0.49133333333333334,0.5673333333333334,0.4207416840699237
