epoch,train_loss,train_f1,val_loss,val_f1,val_monitor,freeze_embedding
1,0.5005694685126613,0.3471451826064538,0.7900539323692799,0.37840617991455244,0.2835997080302389,False
2,0.195436170415694,0.7702096157341229,0.8187823319982702,0.4939213788855468,0.3956674990457544,False
3,0.1278631006997988,0.8629107404008276,0.7705929270882876,0.512251662768761,0.4197805115181665,False
4,0.10087529928442042,0.8925846153792072,0.6551400127498428,0.5261785336717311,0.44756173214174994,False
5,0.08383651990156613,0.9085879338581693,0.683223363053544,0.549668515924433,0.4676817123580077,False
6,0.07385859146283048,0.9225225873145106,0.6752694729117815,0.5529500545803205,0.47191771783090675,False
7,0.06538677983806429,0.9307395206475675,0.5950412766380837,0.5948037611265014,0.5233988079299313,False
8,0.060510504593532785,0.9359731327421518,0.5344489145862867,0.6098023748875891,0.5456685051372347,False
9,0.05741806712395809,0.9383217962586943,0.7063607099982826,0.5543430033077223,0.4695797181079284,False
10,0.05435884191471762,0.9414831192697689,0.7504262404974215,0.5539856126710592,0.4639344638113686,False
11,0.052250196977329647,0.9425228965714183,0.6407584364296339,0.5655314811853338,0.48864046881377776,False
12,0.05006932769823145,0.9461766197032364,0.6291065491763471,0.5840485080545873,0.5085557221534256,False
13,0.04858661012175979,0.9471990868744474,0.5855791734910804,0.6263207651030873,0.5560512642841576,False
14,0.04680930658421263,0.9493605177943926,0.6181853635597873,0.568870960877008,0.4946887172498335,False
15,0.0444724373874994,0.949852009487826,0.620386700464516,0.5701925984369365,0.49574619438119455,False
16,0.043321874210899676,0.9514357246066514,0.7074215744792475,0.5591102478327531,0.4742196588952434,False
17,0.04221367263896958,0.9543499244951759,0.5691773471315872,0.6239336292627893,0.5556323476069989,False
18,0.040548595399071026,0.9551464126244509,0.5280515378432376,0.6305155269778979,0.5671493424367094,False
19,0.040124947226560244,0.9540403341882029,0.6231444908581224,0.5626923686681061,0.48791502976513146,False
20,0.03906617047278996,0.9584832026568404,0.5905930804847931,0.5927856839997099,0.5219145143415347,False
