epoch,train_loss,freeze_embedding,Recall@1,Recall@3,Recall@5,MRR
1,0.2124087155520261,False,0.37133333333333335,0.602,0.7006666666666667,0.5145692732127005
2,0.11739743410885989,False,0.3953333333333333,0.636,0.7273333333333334,0.5438570639277551
3,0.0981509030520261,False,0.4026666666666667,0.6606666666666666,0.746,0.5562956346913416
4,0.08752625853150756,False,0.416,0.654,0.752,0.5646870777633247
5,0.07855694110576923,False,0.42133333333333334,0.678,0.7613333333333333,0.5752334663693034
6,0.07316555819668613,False,0.43066666666666664,0.6873333333333334,0.77,0.5836959850490133
7,0.06827486478365384,False,0.4186666666666667,0.69,0.7746666666666666,0.5796368578986452
8,0.06438555036272321,False,0.44,0.6913333333333334,0.776,0.592446360942224
9,0.05983977265410371,False,0.44666666666666666,0.696,0.7853333333333333,0.5980150908281701
10,0.057125049632984204,False,0.45466666666666666,0.7146666666666667,0.796,0.6074343343039024
11,0.055038619827438184,False,0.4593333333333333,0.7186666666666667,0.7953333333333333,0.6120873869816525
12,0.05205628112122253,False,0.4633333333333333,0.718,0.7933333333333333,0.6141991275845454
13,0.05011489365127061,False,0.4766666666666667,0.724,0.8053333333333333,0.6226354450091831
14,0.04846509996351305,False,0.47733333333333333,0.7346666666666667,0.8133333333333334,0.6291768681502439
15,0.045583368657709476,False,0.4766666666666667,0.7273333333333334,0.8146666666666667,0.6267273257791566
16,0.043574741908482144,False,0.47733333333333333,0.7413333333333333,0.816,0.6298297815726555
17,0.043439424954927884,False,0.48333333333333334,0.7366666666666667,0.8186666666666667,0.6324668351777792
18,0.04083411248175652,False,0.48733333333333334,0.748,0.822,0.636456184580518
19,0.040004688304859204,False,0.49066666666666664,0.7453333333333333,0.8166666666666667,0.6380714373704398
20,0.0383142324594351,False,0.49066666666666664,0.7486666666666667,0.8166666666666667,0.6383378424348272
21,0.03729591788826408,False,0.496,0.7586666666666667,0.8346666666666667,0.6456937452799046
22,0.036980849045973554,False,0.502,0.76,0.8266666666666667,0.6492402937428708
23,0.035728622268844434,False,0.51,0.7713333333333333,0.83,0.6546404267753008
24,0.03589328304751889,False,0.502,0.7706666666666667,0.8426666666666667,0.6528249055417488
25,0.03382479489504636,False,0.5046666666666667,0.774,0.8426666666666667,0.6563748351480222
26,0.03296263139326494,False,0.512,0.7826666666666666,0.844,0.6632914951753207
27,0.031838301773909686,False,0.5093333333333333,0.7793333333333333,0.8446666666666667,0.6583891453090347
28,0.03054985633263221,False,0.52,0.7806666666666666,0.8566666666666667,0.668325723685402
29,0.031925159496265454,False,0.5246666666666666,0.774,0.844,0.6676206189699472
30,0.03064212170276013,False,0.5386666666666666,0.7806666666666666,0.846,0.6766459414044853
31,0.029224102313701924,False,0.5333333333333333,0.782,0.8486666666666667,0.6740881912522199
32,0.028604444566663806,False,0.5453333333333333,0.7893333333333333,0.852,0.6833142731877387
33,0.028719220842633928,False,0.54,0.7833333333333333,0.8433333333333334,0.6780070607256934
34,0.02844338888650412,False,0.5473333333333333,0.788,0.852,0.6852810612079692
35,0.02791670914534684,False,0.5446666666666666,0.78,0.8506666666666667,0.6811404623277595
36,0.026882800427111952,False,0.5433333333333333,0.7846666666666666,0.8553333333333333,0.6824805554996867
37,0.024164598066728195,False,0.546,0.786,0.8513333333333334,0.6845767803115335
38,0.02381129841228108,False,0.5493333333333333,0.7873333333333333,0.8553333333333333,0.6862288473725455
39,0.021824344173892514,False,0.544,0.7893333333333333,0.858,0.6830365505220537
40,0.022404010479266826,False,0.5526666666666666,0.7953333333333333,0.8586666666666667,0.6891265989830975
41,0.02221675495524983,False,0.5473333333333333,0.794,0.8573333333333333,0.6861343879029578
42,0.021888607150905733,False,0.5466666666666666,0.7933333333333333,0.8573333333333333,0.6851686046505191
43,0.020311104072319282,False,0.546,0.7973333333333333,0.862,0.6870907121883361
44,0.019815319187038546,False,0.5486666666666666,0.8033333333333333,0.8613333333333333,0.6903448070896497
45,0.020051138741629466,False,0.548,0.8033333333333333,0.8586666666666667,0.6892552502331952
46,0.019498384915865384,False,0.5553333333333333,0.8026666666666666,0.8666666666666667,0.6936863850428991
47,0.018392080789083963,False,0.552,0.8066666666666666,0.8653333333333333,0.6928448023877217
48,0.019367343776828642,False,0.5593333333333333,0.8033333333333333,0.8666666666666667,0.6959173177990968
49,0.01925483116736779,False,0.546,0.8006666666666666,0.862,0.6887738120356476
50,0.01884414337493561,False,0.552,0.8046666666666666,0.8653333333333333,0.6928679719574539
