epoch,train_loss,freeze_embedding,Recall@1,Recall@3,Recall@5,MRR
1,0.19456934666895603,False,0.36466666666666664,0.5866666666666667,0.6866666666666666,0.5075339783179743
2,0.11663583608774039,False,0.388,0.6306666666666667,0.726,0.5381301658361264
3,0.09973010388049451,False,0.402,0.6566666666666666,0.7406666666666667,0.5554808407787432
4,0.08890944260817307,False,0.4246666666666667,0.6613333333333333,0.75,0.5716314717072397
5,0.08142995310353708,False,0.43266666666666664,0.6773333333333333,0.7706666666666667,0.5817752042156483
6,0.07561149177970466,False,0.42333333333333334,0.6813333333333333,0.776,0.5789867084965347
7,0.07065070854438531,False,0.434,0.694,0.7766666666666666,0.5900705501725519
8,0.06710731590187156,False,0.44066666666666665,0.7013333333333334,0.7833333333333333,0.5964284757334838
9,0.06356509701236264,False,0.458,0.706,0.7933333333333333,0.6068242575256317
10,0.05984899499914148,False,0.45666666666666667,0.7126666666666667,0.7933333333333333,0.6085847895302541
11,0.05649323515839629,False,0.4713333333333333,0.724,0.7986666666666666,0.6182039598008118
12,0.05463468111478365,False,0.4786666666666667,0.7313333333333333,0.8113333333333334,0.6250635953631011
13,0.05276656936813187,False,0.4766666666666667,0.7353333333333333,0.814,0.6277953087826633
14,0.05029556777451064,False,0.48933333333333334,0.7346666666666667,0.8113333333333334,0.6325344788486279
15,0.047906812730726306,False,0.48333333333333334,0.7293333333333333,0.81,0.63054665630728
16,0.046593969994848904,False,0.4886666666666667,0.7366666666666667,0.818,0.6357379595836233
17,0.04501133174686642,False,0.48733333333333334,0.75,0.814,0.6377669877532784
18,0.04394187508048592,False,0.5033333333333333,0.7486666666666667,0.8186666666666667,0.6449875872034859
19,0.04225200611156422,False,0.5073333333333333,0.75,0.8213333333333334,0.6498937961652932
20,0.040014832884400754,False,0.5093333333333333,0.756,0.8266666666666667,0.6531622111225933
21,0.039470127650669644,False,0.5113333333333333,0.7506666666666667,0.8286666666666667,0.6536846692503923
22,0.039013453892299106,False,0.514,0.7546666666666667,0.8326666666666667,0.6546948002161369
23,0.037271939791165866,False,0.512,0.7613333333333333,0.838,0.6555145212889809
24,0.037165547465230084,False,0.514,0.7713333333333333,0.8313333333333334,0.6592235544991345
25,0.03536232749184409,False,0.5253333333333333,0.7673333333333333,0.8406666666666667,0.6651000645559199
26,0.035470228928786054,False,0.5213333333333333,0.77,0.844,0.6641748643656079
27,0.0342687250493647,False,0.5293333333333333,0.7726666666666666,0.844,0.6695436304887625
28,0.03449718768780048,False,0.5146666666666667,0.7693333333333333,0.8413333333333334,0.6604447593830883
29,0.03282173911293784,False,0.522,0.7793333333333333,0.8426666666666667,0.6669262987576325
30,0.029728858025519403,False,0.5193333333333333,0.7773333333333333,0.848,0.665952974332811
31,0.027599711994548422,False,0.5313333333333333,0.7846666666666666,0.85,0.673746796460493
32,0.027397826477721498,False,0.5313333333333333,0.7753333333333333,0.844,0.6714108169498474
33,0.02757439246544471,False,0.5346666666666666,0.7913333333333333,0.8573333333333333,0.6782888055631797
34,0.027247879531357315,False,0.5273333333333333,0.7873333333333333,0.8533333333333334,0.6736297592549358
35,0.026088924198360234,False,0.536,0.7913333333333333,0.852,0.6774094707508737
36,0.023718655764401613,False,0.534,0.7886666666666666,0.856,0.6767627073717958
37,0.02324873536497682,False,0.5433333333333333,0.7853333333333333,0.856,0.682175254813871
38,0.023436368166745363,False,0.542,0.7886666666666666,0.8593333333333333,0.6821785962381244
39,0.023297865312178055,False,0.5446666666666666,0.7926666666666666,0.858,0.6836422480517446
40,0.022473010388049452,False,0.542,0.7886666666666666,0.8546666666666667,0.6815537034068706
41,0.022382254128927713,False,0.5373333333333333,0.7906666666666666,0.8546666666666667,0.6792757528029778
42,0.021442329490577783,False,0.5413333333333333,0.79,0.8553333333333333,0.6817885679636038
43,0.021056290511246564,False,0.5406666666666666,0.784,0.8573333333333333,0.6813132386580472
44,0.021603091732486264,False,0.5373333333333333,0.7893333333333333,0.8566666666666667,0.6800529820548171
